year,age,sex,people
1960,0,1,1505066
1960,0,2,1447418
1960,5,1,1369911
1960,5,2,1316045
1960,10,1,1362972
1960,10,2,1303564
1960,15,1,1221337
1960,15,2,1201360
1960,20,1,1141890
1960,20,2,1100165
1960,25,1,1196122
1960,25,2,1239041
1960,30,1,1157457
1960,30,2,1199869
1960,35,1,1064646
1960,35,2,1108592
1960,40,1,845335
1960,40,2,958456
1960,45,1,806820
1960,45,2,924135
1960,50,1,784919
1960,50,2,871687
1960,55,1,685413
1960,55,2,780362
1960,60,1,544754
1960,60,2,677507
1960,65,1,415776
1960,65,2,546107
1960,70,1,303197
1960,70,2,419226
1960,75,1,178783
1960,75,2,267675
1970,0,1,1667233
1970,0,2,1590624
1970,5,1,1648338
1970,5,2,1571614
1970,10,1,1547187
1970,10,2,1483008
1970,15,1,1372112
1970,15,2,1337224
1970,20,1,1287654
1970,20,2,1261099
1970,25,1,1120906
1970,25,2,1118574
1970,30,1,1026227
1970,30,2,1047759
1970,35,1,1187519
1970,35,2,1202252
1970,40,1,1148551
1970,40,2,1176850
1970,45,1,1050226
1970,45,2,1083344
1970,50,1,807312
1970,50,2,920140
1970,55,1,751941
1970,55,2,878956
1970,60,1,692288
1970,60,2,819404
1970,65,1,561827
1970,65,2,706930
1970,70,1,379974
1970,70,2,532815
1970,75,1,230817
1970,75,2,354655
1980,0,1,1608765
1980,0,2,1520616
1980,5,1,1687495
1980,5,2,1599448
1980,10,1,1675037
1980,10,2,1592547
1980,15,1,1639722
1980,15,2,1573102
1980,20,1,1484273
1980,20,2,1454379
1980,25,1,1284590
1980,25,2,1258055
1980,30,1,1234990
1980,30,2,1231856
1980,35,1,1118929
1980,35,2,1118456
1980,40,1,1021214
1980,40,2,1037777
1980,45,1,1166263
1980,45,2,1199890
1980,50,1,1090089
1980,50,2,1138289
1980,55,1,957195
1980,55,2,1033603
1980,60,1,719227
1980,60,2,863530
1980,65,1,620264
1980,65,2,804075
1980,70,1,498957
1980,70,2,686492
1980,75,1,326458
1980,75,2,505893
1990,0,1,1085773
1990,0,2,1012159
1990,5,1,1285534
1990,5,2,1197222
1990,10,1,1593432
1990,10,2,1504994
1990,15,1,1687747
1990,15,2,1596503
1990,20,1,1683848
1990,20,2,1610208
1990,25,1,1620973
1990,25,2,1579591
1990,30,1,1432450
1990,30,2,1421871
1990,35,1,1256250
1990,35,2,1248262
1990,40,1,1208253
1990,40,2,1216009
1990,45,1,1072481
1990,45,2,1085517
1990,50,1,988458
1990,50,2,1034283
1990,55,1,1088247
1990,55,2,1163095
1990,60,1,977608
1990,60,2,1087956
1990,65,1,806511
1990,65,2,957656
1990,70,1,549616
1990,70,2,762631
1990,75,1,403819
1990,75,2,633330
2000,0,1,958846
2000,0,2,903204
2000,5,1,1003284
2000,5,2,941888
2000,10,1,1071856
2000,10,2,1015851
2000,15,1,1311613
2000,15,2,1247347
2000,20,1,1628261
2000,20,2,1559840
2000,25,1,1732465
2000,25,2,1665255
2000,30,1,1682773
2000,30,2,1630670
2000,35,1,1575609
2000,35,2,1556854
2000,40,1,1414546
2000,40,2,1419000
2000,45,1,1242021
2000,45,2,1254668
2000,50,1,1172744
2000,50,2,1207417
2000,55,1,1019161
2000,55,2,1070862
2000,60,1,907497
2000,60,2,1003710
2000,65,1,953187
2000,65,2,1105133
2000,70,1,792893
2000,70,2,997821
2000,75,1,566417
2000,75,2,814153
2010,0,1,1283815
2010,0,2,1204803
2010,5,1,1196139
2010,5,2,1131024
2010,10,1,1104277
2010,10,2,1044203
2010,15,1,1157539
2010,15,2,1088342
2010,20,1,1327179
2010,20,2,1281686
2010,25,1,1688844
2010,25,2,1624472
2010,30,1,2092405
2010,30,2,1962480
2010,35,1,2078651
2010,35,2,1946133
2010,40,1,1934773
2010,40,2,1855381
2010,45,1,1767514
2010,45,2,1743226
2010,50,1,1544518
2010,50,2,1557702
2010,55,1,1286656
2010,55,2,1325407
2010,60,1,1182165
2010,60,2,1260361
2010,65,1,993267
2010,65,2,1095520
2010,70,1,797147
2010,70,2,955801
2010,75,1,748688
2010,75,2,990445
